Time (s),Memory Usage (MiB)
0.0,131668.3125
0.1,131668.328125
0.2,131668.484375
0.30000000000000004,131668.48828125
0.4,131668.48828125
0.5,131668.48828125
0.6000000000000001,131668.4921875
0.7000000000000001,131668.4921875
0.8,131668.49609375
0.9,131668.49609375
1.0,131668.49609375
1.1,131668.5078125
1.2000000000000002,131668.5078125
1.3,131668.5078125
1.4000000000000001,131668.5078125
1.5,131668.5078125
1.6,131668.5078125
1.7000000000000002,131668.51171875
1.8,131668.51171875
1.9000000000000001,131668.51171875
2.0,131668.51171875
2.1,131668.51171875
2.2,131668.51171875
2.3000000000000003,131668.51171875
2.4000000000000004,131668.515625
2.5,131668.515625
2.6,131668.515625
2.7,131668.515625
2.8000000000000003,131668.51953125
2.9000000000000004,131668.671875
3.0,131683.08984375
3.1,131684.0
3.2,131815.21875
3.3000000000000003,132180.29296875
3.4000000000000004,132413.84375
3.5,132822.76953125
3.6,133286.70703125
3.7,133386.81640625
3.8000000000000003,133299.35546875
3.9000000000000004,133283.65625
4.0,133145.41015625
4.1000000000000005,132739.90625
4.2,132547.30078125
4.3,132184.84375
4.4,131918.3203125
4.5,132151.29296875
4.6000000000000005,132557.20703125
4.7,132561.12109375
4.800000000000001,133055.00390625
4.9,133324.5546875
5.0,133644.62109375
5.1000000000000005,133612.609375
5.2,133479.28515625
5.300000000000001,133323.12109375
5.4,132887.08203125
5.5,132677.17578125
5.6000000000000005,132353.74609375
5.7,132037.8515625
5.800000000000001,132563.9921875
5.9,132697.26953125
6.0,133123.49609375
6.1000000000000005,133642.140625
6.2,133875.06640625
6.300000000000001,133388.80859375
6.4,133483.4609375
6.5,133044.9296875
6.6000000000000005,132710.0078125
6.7,132428.84765625
6.800000000000001,132193.2421875
6.9,132548.078125
7.0,132889.21875
7.1000000000000005,133135.8984375
7.2,133726.82421875
7.300000000000001,133453.91015625
7.4,133382.734375
7.5,132963.3203125
7.6000000000000005,132664.1953125
7.7,132252.71484375
7.800000000000001,132237.2109375
7.9,132710.78515625
8.0,133091.43359375
8.1,133589.515625
8.200000000000001,133892.4609375
8.3,133388.02734375
8.4,133483.203125
8.5,132912.55078125
8.6,132710.8671875
8.700000000000001,132235.0859375
8.8,132373.8359375
8.9,132580.515625
9.0,133076.7265625
9.1,133517.28125
9.200000000000001,133588.33984375
9.3,133429.828125
9.4,133000.34765625
9.5,132731.62890625
9.600000000000001,132385.7890625
9.700000000000001,132332.75390625
9.8,132724.3671875
9.9,133064.20703125
10.0,133393.046875
10.100000000000001,133748.8046875
10.200000000000001,133272.74609375
10.3,133357.83984375
10.4,132847.84765625
10.5,132667.10546875
10.600000000000001,132263.8203125
10.700000000000001,132321.390625
10.8,132727.3359375
10.9,133101.2890625
11.0,133288.5859375
11.100000000000001,133788.859375
11.200000000000001,133625.859375
11.3,133424.73828125
11.4,133331.2109375
11.5,133050.55859375
11.600000000000001,132648.4921875
11.700000000000001,132103.32421875
11.8,132419.96875
11.9,132797.96484375
12.0,133093.6640625
12.100000000000001,133525.8359375
12.200000000000001,133825.609375
12.3,133541.796875
12.4,133495.453125
12.5,133218.84765625
12.600000000000001,132841.5546875
12.700000000000001,132623.91796875
12.8,132199.91015625
12.9,132672.71484375
13.0,133130.16015625
13.100000000000001,133267.68359375
13.200000000000001,133706.43359375
13.3,133461.49609375
13.4,133462.33203125
13.5,133042.46484375
13.600000000000001,132707.6796875
13.700000000000001,132387.84375
13.8,132308.625
13.9,132748.1875
14.0,133107.3359375
14.100000000000001,133311.421875
14.200000000000001,133787.27734375
14.3,133597.92578125
14.4,133570.7890625
14.5,133222.625
14.600000000000001,132920.94921875
14.700000000000001,132630.2265625
14.8,132363.16796875
14.9,132754.05859375
15.0,133125.84375
15.100000000000001,133566.37109375
15.200000000000001,133846.6171875
15.3,133398.18359375
15.4,133365.16015625
15.5,133039.9921875
15.600000000000001,132660.75390625
15.700000000000001,132227.1953125
15.8,132666.1328125
15.9,133141.2421875
16.0,133313.90234375
16.1,133760.7578125
16.2,133345.27734375
16.3,133261.73828125
16.400000000000002,133010.484375
16.5,132630.8984375
16.6,132341.96484375
16.7,132745.25390625
16.8,133116.02734375
16.900000000000002,133376.1171875
17.0,133890.88671875
17.1,133489.78125
17.2,133579.06640625
17.3,133040.26171875
17.400000000000002,132849.75390625
17.5,132220.25
17.6,132734.41796875
17.7,132858.015625
17.8,133138.48046875
17.900000000000002,133550.0703125
18.0,133547.00390625
18.1,133462.29296875
18.2,132934.078125
18.3,132747.06640625
18.400000000000002,132131.94140625
18.5,132761.93359375
18.6,132894.8515625
18.7,133372.1015625
18.8,133907.4921875
18.900000000000002,134162.90625
19.0,133596.09765625
19.1,133700.25390625
19.200000000000003,133078.43359375
19.3,132857.453125
19.400000000000002,132493.00390625
19.5,132360.5703125
19.6,132840.02734375
19.700000000000003,133202.2734375
19.8,133536.58984375
19.900000000000002,133833.5625
20.0,133881.77734375
20.1,133633.16015625
20.200000000000003,133406.15625
20.3,133105.42578125
20.400000000000002,132692.71484375
20.5,132203.921875
